movie_name,mpaa,mpaa_category,overall_Profanity,overall_Drug/Alcohol,overall_General,overall_Violence,overall_Sexual Content
Star-Wars-Episode-VI-Return-of-the-Jedi,PG,Family-Friendly,0.001697792869269949,0.0012733446519524619,0.884125636672326,0.11035653650254669,0.0025466893039049238
The-Cat-People,NR,Adult,0.0008340283569641367,0.013344453711426188,0.9599666388657214,0.020850708924103418,0.0050041701417848205
Airplane-II-The-Sequel,PG,Family-Friendly,0.00703125,0.025,0.896484375,0.061328125,0.01015625
12-Monkeys,R,Adult,0.01155527795128045,0.015302935665209244,0.9147407870081199,0.05465334166146159,0.0037476577139287947
Hellraiser-3-Hell-on-Earth,R,Adult,0.020729684908789386,0.011608623548922056,0.8996683250414593,0.05679933665008292,0.011194029850746268
Ali,R,Adult,0.0046987285793255945,0.008568269762299612,0.9051962410171366,0.0779436152570481,0.0035931453841901604
The-Straight-Story,G,Family-Friendly,0.005721291377196567,0.020024519820187985,0.9632202697180221,0.00939926440539436,0.0016346546791990192
Murderland,PG,Family-Friendly,0.026544155181214904,0.007656967840735069,0.885145482388974,0.07146503318019398,0.009188361408882083
Jason-X,R,Adult,0.023099850968703428,0.00856929955290611,0.8170640834575261,0.13673621460506707,0.014530551415797318
The-Seventh-Victim,NR,Adult,0.0,0.012417218543046357,0.972682119205298,0.012417218543046357,0.0024834437086092716
Heavenly-Creatures,R,Adult,0.0055309734513274336,0.0025811209439528023,0.9542772861356932,0.02654867256637168,0.011061946902654867
Whos-Your-Daddy,R,Adult,0.005422993492407809,0.006869125090383225,0.9352856109906001,0.004338394793926247,0.04808387563268257
Rambling-Rose,R,Adult,0.01217391304347826,0.01008695652173913,0.9429565217391305,0.014608695652173913,0.02017391304347826
Mission-Impossible,PG-13,Family-Friendly,0.005681818181818182,0.015151515151515152,0.9308712121212122,0.041666666666666664,0.006628787878787879
Monty-Python-Live-at-the-Hollywood-Bowl,R,Adult,0.02532561505065123,0.005065123010130246,0.9406657018813314,0.019536903039073805,0.009406657018813314
Blade,R,Adult,0.009198423127463863,0.02058694699956198,0.7744196233026719,0.18572054314498468,0.010074463425317565
Confessions-of-a-Dangerous-Mind,R,Adult,0.025339043540328336,0.02462526766595289,0.8658101356174162,0.058886509635974305,0.025339043540328336
Defiance,R,Adult,0.012373819602735266,0.014978834255942689,0.8707261478345816,0.09703679583197655,0.00488440247476392
Feast,G,Family-Friendly,0.031790556334735855,0.025245441795231416,0.7896213183730715,0.14212248714352502,0.011220196353436185
Anastasia,G,Family-Friendly,0.0,0.0026542800265428003,0.9542136695421367,0.0411413404114134,0.0019907100199071004
Toy-Story,G,Family-Friendly,0.006284038542103058,0.0008378718056137411,0.9447004608294931,0.0469208211143695,0.0012568077084206116
Nurse-Betty,R,Adult,0.03733955659276546,0.011085180863477246,0.8949824970828472,0.04754959159859977,0.009043173862310384
Brazil,R,Adult,0.009282178217821782,0.0049504950495049506,0.9245049504950495,0.05631188118811881,0.0049504950495049506
